name,role,image
Verawaty Chan,Co-chair,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fd528358bdb9e57953_645e0e38ff03c3cfb9192238_VerawatyCHAN_mugshot.jpeg
Susan Wolfe,Co-chair,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fd7a6268923a373796_645e0e38ff03c3cfb9192236_SusanJWolfe.jpeg
Ben Pecotich,"Co-chair, Education Summit",https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fdef937bd8c8e46857_645e0e38ff03c3cfb9192237_Ben-Pecotich-UXA.jpeg
Martin Tomitsch,"Co-chair, Education Summit",https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fdc8d98bb321b3debc_645e0e38ff03c3cfb919223b_MartinTomitsch-1000px.png
Brenda Sanderson,IxDA Executive Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/6488f00c3c5aa2cd4a036b2a_3ecc2d8c44e1f8aa7aac5b5e00472b2b.jpg
Carrie Rice,Conference Planner,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/6488efc2a5b513f81115b298_662c95e8a6f5e2e2af4bd969c0aa4434.jpg
Lisa Railey,Partnerships Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fecf9435edd72bea1a_645e0e38ff03c3cfb9192230_LisaRailey.jpeg
Timothy Greig,Program and Speaker Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/649915632c6b5f5452b41111_Tim-greig.jpeg
Tim Yeo,Program Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/64fe999de214f2e762b71886_timyeo profile.jpg
Damian Norton,Presenter Experience Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/64fe991d51efba349f789a66_Damian-Norton.jpg
Lian Loke,Education Summit Program Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/6488efda1595a41dd0302f1a_998528ec89037c41faa7a75cfb1cb3f0.jpg
Scott Brown,Education Summit Program Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/6488eff15d5ab5cbc45fb864_e3b04392b271bededf2873fe4ce9da53.jpg
Oliver Weidlich,Attendee Experience Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fd83e2061e4ebe7384_645e0e38ff03c3cfb9192231_oliver .jpeg
Kevin Chan,Attendee Experience Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fd9ecc66fceadbdc46_645e0e38ff03c3cfb9192239_Kevin-Chan.jpeg
Damien Loy,Hybrid Exprience Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/6488f029080c62bd24f5098d_10a09430d7f9c9799f91d57571a9f8a6.jpg
Lydia Bradshaw,Design and Branding Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fec8d98bb321b3def1_645e0e38ff03c3cfb9192233_Lydia-Bradshaw.jpeg
Kevin Wilkins,Design and Branding Co-Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fe7a6268923a373807_645e0e38ff03c3cfb9192234_Kevin Wilkins portrait.png
Ulf Sthamer,Social Events Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fff67c0926f8f84ef6_645e0e38ff03c3cfb9192232_Ulf_mugshot.jpeg
Robert Tot,Volunteer Coordination Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/647f59fe5e02e4034ec69d4d_645e0e38ff03c3cfb919223e_Rob.jpeg
Amanda Lim,Communications and Content Director,https://interaction24.ixda.org/assets-global.website-files.com/647a3f58fc5f48d5304e44f8/6488ef7a5594acd90616a4f8_ad2d385e64203bc59e23f723be585bbc.png
